x,y,concentration
0.0,0.0,0.0
0.0,2.5,0.0
0.0,5.0,0.0
0.0,7.5,0.0
0.0,10.0,0.0
0.0,12.5,0.0
0.0,15.0,0.0
0.0,17.5,0.0
0.0,20.0,0.0
0.0,22.5,0.0
0.0,25.0,0.0
0.0,27.5,0.0
0.0,30.0,0.0
0.0,32.5,0.0
0.0,35.0,0.0
0.0,37.5,0.0
0.0,40.0,0.0
0.0,42.5,0.0
0.0,45.0,0.0
0.0,47.5,0.0
0.0,50.0,0.0
0.0,52.5,0.0
0.0,55.0,0.0
0.0,57.5,0.0
0.0,60.0,0.0
0.0,62.5,0.0
0.0,65.0,0.0
0.0,67.5,0.0
0.0,70.0,0.0
0.0,72.5,0.0
0.0,75.0,0.0
0.0,77.5,0.0
0.0,80.0,0.0
0.0,82.5,0.0
0.0,85.0,0.0
0.0,87.5,0.0
0.0,90.0,0.0
0.0,92.5,0.0
0.0,95.0,0.0
0.0,97.5,0.0
2.5,0.0,0.0
2.5,2.5,0.0
2.5,5.0,0.0
2.5,7.5,0.0
2.5,10.0,0.0
2.5,12.5,0.0
2.5,15.0,0.0
2.5,17.5,0.0
2.5,20.0,0.0
2.5,22.5,0.0
2.5,25.0,0.0
2.5,27.5,0.0
2.5,30.0,0.0
2.5,32.5,0.0
2.5,35.0,0.0
2.5,37.5,0.0
2.5,40.0,0.0
2.5,42.5,0.0
2.5,45.0,0.0
2.5,47.5,0.0
2.5,50.0,0.0
2.5,52.5,0.0
2.5,55.0,0.0
2.5,57.5,0.0
2.5,60.0,0.0
2.5,62.5,0.0
2.5,65.0,0.0
2.5,67.5,0.0
2.5,70.0,0.0
2.5,72.5,0.0
2.5,75.0,0.0
2.5,77.5,0.0
2.5,80.0,0.0
2.5,82.5,0.0
2.5,85.0,0.0
2.5,87.5,0.0
2.5,90.0,0.0
2.5,92.5,0.0
2.5,95.0,0.0
2.5,97.5,0.0
5.0,0.0,0.0
5.0,2.5,0.0
5.0,5.0,0.0
5.0,7.5,0.0
5.0,10.0,0.0
5.0,12.5,0.0
5.0,15.0,0.0
5.0,17.5,0.0
5.0,20.0,0.0
5.0,22.5,0.0
5.0,25.0,0.0
5.0,27.5,0.0
5.0,30.0,0.0
5.0,32.5,0.0
5.0,35.0,0.0
5.0,37.5,0.0
5.0,40.0,0.0
5.0,42.5,0.0
5.0,45.0,0.0
5.0,47.5,0.0
5.0,50.0,0.0
5.0,52.5,0.0
5.0,55.0,0.0
5.0,57.5,0.0
5.0,60.0,0.0
5.0,62.5,0.0
5.0,65.0,0.0
5.0,67.5,0.0
5.0,70.0,0.0
5.0,72.5,0.0
5.0,75.0,0.0
5.0,77.5,0.0
5.0,80.0,0.0
5.0,82.5,0.0
5.0,85.0,0.0
5.0,87.5,0.0
5.0,90.0,0.0
5.0,92.5,0.0
5.0,95.0,0.0
5.0,97.5,0.0
7.5,0.0,0.0
7.5,2.5,0.0
7.5,5.0,0.0
7.5,7.5,0.0
7.5,10.0,0.0
7.5,12.5,0.0
7.5,15.0,0.0
7.5,17.5,0.0
7.5,20.0,0.0
7.5,22.5,0.0
7.5,25.0,0.0
7.5,27.5,0.0
7.5,30.0,0.0
7.5,32.5,0.0
7.5,35.0,0.0
7.5,37.5,0.0
7.5,40.0,0.0
7.5,42.5,0.0
7.5,45.0,0.0
7.5,47.5,0.0
7.5,50.0,0.0
7.5,52.5,0.0
7.5,55.0,0.0
7.5,57.5,0.0
7.5,60.0,0.0
7.5,62.5,0.0
7.5,65.0,0.0
7.5,67.5,0.0
7.5,70.0,0.0
7.5,72.5,0.0
7.5,75.0,0.0
7.5,77.5,0.0
7.5,80.0,0.0
7.5,82.5,0.0
7.5,85.0,0.0
7.5,87.5,0.0
7.5,90.0,0.0
7.5,92.5,0.0
7.5,95.0,0.0
7.5,97.5,0.0
10.0,0.0,0.0
10.0,2.5,0.0
10.0,5.0,0.0
10.0,7.5,0.0
10.0,10.0,0.0
10.0,12.5,0.0
10.0,15.0,0.0
10.0,17.5,0.0
10.0,20.0,0.0
10.0,22.5,0.0
10.0,25.0,0.0
10.0,27.5,0.0
10.0,30.0,0.0
10.0,32.5,0.0
10.0,35.0,0.0
10.0,37.5,0.0
10.0,40.0,0.0
10.0,42.5,0.0
10.0,45.0,0.0
10.0,47.5,0.0
10.0,50.0,0.0
10.0,52.5,0.0
10.0,55.0,0.0
10.0,57.5,0.0
10.0,60.0,0.0
10.0,62.5,0.0
10.0,65.0,0.0
10.0,67.5,0.0
10.0,70.0,0.0
10.0,72.5,0.0
10.0,75.0,0.0
10.0,77.5,0.0
10.0,80.0,0.0
10.0,82.5,0.0
10.0,85.0,0.0
10.0,87.5,0.0
10.0,90.0,0.0
10.0,92.5,0.0
10.0,95.0,0.0
10.0,97.5,0.0
12.5,0.0,0.0
12.5,2.5,0.0
12.5,5.0,0.0
12.5,7.5,0.0
12.5,10.0,0.0
12.5,12.5,0.0
12.5,15.0,0.0
12.5,17.5,0.0
12.5,20.0,0.0
12.5,22.5,0.0
12.5,25.0,0.0
12.5,27.5,0.0
12.5,30.0,0.0
12.5,32.5,0.0
12.5,35.0,0.0
12.5,37.5,0.0
12.5,40.0,0.0
12.5,42.5,0.0
12.5,45.0,0.0
12.5,47.5,0.0
12.5,50.0,14.698737118726296
12.5,52.5,0.0
12.5,55.0,0.0
12.5,57.5,0.0
12.5,60.0,0.0
12.5,62.5,0.0
12.5,65.0,0.0
12.5,67.5,0.0
12.5,70.0,0.0
12.5,72.5,0.0
12.5,75.0,0.0
12.5,77.5,0.0
12.5,80.0,0.0
12.5,82.5,0.0
12.5,85.0,0.0
12.5,87.5,0.0
12.5,90.0,0.0
12.5,92.5,0.0
12.5,95.0,0.0
12.5,97.5,0.0
15.0,0.0,0.0
15.0,2.5,0.0
15.0,5.0,0.0
15.0,7.5,0.0
15.0,10.0,0.0
15.0,12.5,0.0
15.0,15.0,0.0
15.0,17.5,0.0
15.0,20.0,0.0
15.0,22.5,0.0
15.0,25.0,0.0
15.0,27.5,0.0
15.0,30.0,0.0
15.0,32.5,0.0
15.0,35.0,0.0
15.0,37.5,0.0
15.0,40.0,0.0
15.0,42.5,0.0
15.0,45.0,0.0
15.0,47.5,28.522737118726297
15.0,50.0,999958.9273979708
15.0,52.5,28.04739797077503
15.0,55.0,0.0
15.0,57.5,0.0
15.0,60.0,0.0
15.0,62.5,0.0
15.0,65.0,0.0
15.0,67.5,0.0
15.0,70.0,0.0
15.0,72.5,0.0
15.0,75.0,0.0
15.0,77.5,0.0
15.0,80.0,0.0
15.0,82.5,0.0
15.0,85.0,0.0
15.0,87.5,0.0
15.0,90.0,0.0
15.0,92.5,0.0
15.0,95.0,0.0
15.0,97.5,0.0
17.5,0.0,0.0
17.5,2.5,0.0
17.5,5.0,0.0
17.5,7.5,0.0
17.5,10.0,0.0
17.5,12.5,0.0
17.5,15.0,0.0
17.5,17.5,0.0
17.5,20.0,0.0
17.5,22.5,0.0
17.5,25.0,0.0
17.5,27.5,0.0
17.5,30.0,0.0
17.5,32.5,0.0
17.5,35.0,0.0
17.5,37.5,0.0
17.5,40.0,0.0
17.5,42.5,0.0
17.5,45.0,27.648057600000005
17.5,47.5,999972.3520576
17.5,50.0,1000000.0
17.5,52.5,999972.3520576
17.5,55.0,27.648057600000005
17.5,57.5,0.0
17.5,60.0,0.0
17.5,62.5,0.0
17.5,65.0,0.0
17.5,67.5,0.0
17.5,70.0,0.0
17.5,72.5,0.0
17.5,75.0,0.0
17.5,77.5,0.0
17.5,80.0,0.0
17.5,82.5,0.0
17.5,85.0,0.0
17.5,87.5,0.0
17.5,90.0,0.0
17.5,92.5,0.0
17.5,95.0,0.0
17.5,97.5,0.0
20.0,0.0,0.0
20.0,2.5,0.0
20.0,5.0,0.0
20.0,7.5,0.0
20.0,10.0,0.0
20.0,12.5,0.0
20.0,15.0,0.0
20.0,17.5,0.0
20.0,20.0,0.0
20.0,22.5,0.0
20.0,25.0,0.0
20.0,27.5,0.0
20.0,30.0,0.0
20.0,32.5,0.0
20.0,35.0,0.0
20.0,37.5,0.0
20.0,40.0,0.0
20.0,42.5,13.824000000000002
20.0,45.0,999958.528
20.0,47.5,1000000.0
20.0,50.0,1000000.0
20.0,52.5,1000000.0
20.0,55.0,999958.528
20.0,57.5,13.824000000000002
20.0,60.0,0.0
20.0,62.5,0.0
20.0,65.0,0.0
20.0,67.5,0.0
20.0,70.0,0.0
20.0,72.5,0.0
20.0,75.0,0.0
20.0,77.5,0.0
20.0,80.0,0.0
20.0,82.5,0.0
20.0,85.0,0.0
20.0,87.5,0.0
20.0,90.0,0.0
20.0,92.5,0.0
20.0,95.0,0.0
20.0,97.5,0.0
22.5,0.0,0.0
22.5,2.5,0.0
22.5,5.0,0.0
22.5,7.5,0.0
22.5,10.0,0.0
22.5,12.5,0.0
22.5,15.0,0.0
22.5,17.5,0.0
22.5,20.0,0.0
22.5,22.5,0.0
22.5,25.0,0.0
22.5,27.5,0.0
22.5,30.0,0.0
22.5,32.5,0.0
22.5,35.0,0.0
22.5,37.5,0.0
22.5,40.0,0.0
22.5,42.5,0.0
22.5,45.0,27.647942399999998
22.5,47.5,999972.3519424
22.5,50.0,1000000.0
22.5,52.5,999972.3519424
22.5,55.0,27.647942399999998
22.5,57.5,0.0
22.5,60.0,0.0
22.5,62.5,0.0
22.5,65.0,0.0
22.5,67.5,0.0
22.5,70.0,0.0
22.5,72.5,0.0
22.5,75.0,0.0
22.5,77.5,0.0
22.5,80.0,0.0
22.5,82.5,0.0
22.5,85.0,0.0
22.5,87.5,0.0
22.5,90.0,0.0
22.5,92.5,0.0
22.5,95.0,0.0
22.5,97.5,0.0
25.0,0.0,0.0
25.0,2.5,0.0
25.0,5.0,0.0
25.0,7.5,0.0
25.0,10.0,0.0
25.0,12.5,0.0
25.0,15.0,0.0
25.0,17.5,0.0
25.0,20.0,0.0
25.0,22.5,0.0
25.0,25.0,0.0
25.0,27.5,0.0
25.0,30.0,0.0
25.0,32.5,0.0
25.0,35.0,0.0
25.0,37.5,0.0
25.0,40.0,0.0
25.0,42.5,0.0
25.0,45.0,0.0
25.0,47.5,27.647942399999998
25.0,50.0,999958.5279424
25.0,52.5,27.647942399999998
25.0,55.0,0.0
25.0,57.5,0.0
25.0,60.0,0.0
25.0,62.5,0.0
25.0,65.0,0.0
25.0,67.5,0.0
25.0,70.0,0.0
25.0,72.5,0.0
25.0,75.0,0.0
25.0,77.5,0.0
25.0,80.0,0.0
25.0,82.5,0.0
25.0,85.0,0.0
25.0,87.5,0.0
25.0,90.0,0.0
25.0,92.5,0.0
25.0,95.0,0.0
25.0,97.5,0.0
27.5,0.0,0.0
27.5,2.5,0.0
27.5,5.0,0.0
27.5,7.5,0.0
27.5,10.0,0.0
27.5,12.5,0.0
27.5,15.0,0.0
27.5,17.5,0.0
27.5,20.0,0.0
27.5,22.5,0.0
27.5,25.0,0.0
27.5,27.5,0.0
27.5,30.0,0.0
27.5,32.5,0.0
27.5,35.0,0.0
27.5,37.5,0.0
27.5,40.0,0.0
27.5,42.5,0.0
27.5,45.0,0.0
27.5,47.5,0.0
27.5,50.0,13.823942400000002
27.5,52.5,0.0
27.5,55.0,0.0
27.5,57.5,0.0
27.5,60.0,0.0
27.5,62.5,0.0
27.5,65.0,0.0
27.5,67.5,0.0
27.5,70.0,0.0
27.5,72.5,0.0
27.5,75.0,0.0
27.5,77.5,0.0
27.5,80.0,0.0
27.5,82.5,0.0
27.5,85.0,0.0
27.5,87.5,0.0
27.5,90.0,0.0
27.5,92.5,0.0
27.5,95.0,0.0
27.5,97.5,0.0
30.0,0.0,0.0
30.0,2.5,0.0
30.0,5.0,0.0
30.0,7.5,0.0
30.0,10.0,0.0
30.0,12.5,0.0
30.0,15.0,0.0
30.0,17.5,0.0
30.0,20.0,0.0
30.0,22.5,0.0
30.0,25.0,0.0
30.0,27.5,0.0
30.0,30.0,0.0
30.0,32.5,0.0
30.0,35.0,0.0
30.0,37.5,0.0
30.0,40.0,0.0
30.0,42.5,0.0
30.0,45.0,0.0
30.0,47.5,0.0
30.0,50.0,0.0
30.0,52.5,0.0
30.0,55.0,0.0
30.0,57.5,0.0
30.0,60.0,0.0
30.0,62.5,0.0
30.0,65.0,0.0
30.0,67.5,0.0
30.0,70.0,0.0
30.0,72.5,0.0
30.0,75.0,0.0
30.0,77.5,0.0
30.0,80.0,0.0
30.0,82.5,0.0
30.0,85.0,0.0
30.0,87.5,0.0
30.0,90.0,0.0
30.0,92.5,0.0
30.0,95.0,0.0
30.0,97.5,0.0
32.5,0.0,0.0
32.5,2.5,0.0
32.5,5.0,0.0
32.5,7.5,0.0
32.5,10.0,0.0
32.5,12.5,0.0
32.5,15.0,0.0
32.5,17.5,0.0
32.5,20.0,0.0
32.5,22.5,0.0
32.5,25.0,0.0
32.5,27.5,0.0
32.5,30.0,0.0
32.5,32.5,0.0
32.5,35.0,0.0
32.5,37.5,0.0
32.5,40.0,0.0
32.5,42.5,0.0
32.5,45.0,0.0
32.5,47.5,0.0
32.5,50.0,0.0
32.5,52.5,0.0
32.5,55.0,0.0
32.5,57.5,0.0
32.5,60.0,0.0
32.5,62.5,0.0
32.5,65.0,0.0
32.5,67.5,0.0
32.5,70.0,0.0
32.5,72.5,0.0
32.5,75.0,0.0
32.5,77.5,0.0
32.5,80.0,0.0
32.5,82.5,0.0
32.5,85.0,0.0
32.5,87.5,0.0
32.5,90.0,0.0
32.5,92.5,0.0
32.5,95.0,0.0
32.5,97.5,0.0
35.0,0.0,0.0
35.0,2.5,0.0
35.0,5.0,0.0
35.0,7.5,0.0
35.0,10.0,0.0
35.0,12.5,0.0
35.0,15.0,0.0
35.0,17.5,0.0
35.0,20.0,0.0
35.0,22.5,0.0
35.0,25.0,0.0
35.0,27.5,0.0
35.0,30.0,0.0
35.0,32.5,0.0
35.0,35.0,0.0
35.0,37.5,0.0
35.0,40.0,0.0
35.0,42.5,0.0
35.0,45.0,0.0
35.0,47.5,0.0
35.0,50.0,0.0
35.0,52.5,0.0
35.0,55.0,0.0
35.0,57.5,0.0
35.0,60.0,0.0
35.0,62.5,0.0
35.0,65.0,0.0
35.0,67.5,0.0
35.0,70.0,0.0
35.0,72.5,0.0
35.0,75.0,0.0
35.0,77.5,0.0
35.0,80.0,0.0
35.0,82.5,0.0
35.0,85.0,0.0
35.0,87.5,0.0
35.0,90.0,0.0
35.0,92.5,0.0
35.0,95.0,0.0
35.0,97.5,0.0
37.5,0.0,0.0
37.5,2.5,0.0
37.5,5.0,0.0
37.5,7.5,0.0
37.5,10.0,0.0
37.5,12.5,0.0
37.5,15.0,0.0
37.5,17.5,0.0
37.5,20.0,0.0
37.5,22.5,0.0
37.5,25.0,0.0
37.5,27.5,0.0
37.5,30.0,0.0
37.5,32.5,0.0
37.5,35.0,0.0
37.5,37.5,0.0
37.5,40.0,0.0
37.5,42.5,0.0
37.5,45.0,0.0
37.5,47.5,0.0
37.5,50.0,0.0
37.5,52.5,0.0
37.5,55.0,0.0
37.5,57.5,0.0
37.5,60.0,0.0
37.5,62.5,0.0
37.5,65.0,0.0
37.5,67.5,0.0
37.5,70.0,0.0
37.5,72.5,0.0
37.5,75.0,0.0
37.5,77.5,0.0
37.5,80.0,0.0
37.5,82.5,0.0
37.5,85.0,0.0
37.5,87.5,0.0
37.5,90.0,0.0
37.5,92.5,0.0
37.5,95.0,0.0
37.5,97.5,0.0
40.0,0.0,0.0
40.0,2.5,0.0
40.0,5.0,0.0
40.0,7.5,0.0
40.0,10.0,0.0
40.0,12.5,0.0
40.0,15.0,0.0
40.0,17.5,0.0
40.0,20.0,0.0
40.0,22.5,0.0
40.0,25.0,0.0
40.0,27.5,0.0
40.0,30.0,0.0
40.0,32.5,0.0
40.0,35.0,0.0
40.0,37.5,0.0
40.0,40.0,0.0
40.0,42.5,0.0
40.0,45.0,0.0
40.0,47.5,0.0
40.0,50.0,0.0
40.0,52.5,0.0
40.0,55.0,0.0
40.0,57.5,0.0
40.0,60.0,0.0
40.0,62.5,0.0
40.0,65.0,0.0
40.0,67.5,0.0
40.0,70.0,0.0
40.0,72.5,0.0
40.0,75.0,0.0
40.0,77.5,0.0
40.0,80.0,0.0
40.0,82.5,0.0
40.0,85.0,0.0
40.0,87.5,0.0
40.0,90.0,0.0
40.0,92.5,0.0
40.0,95.0,0.0
40.0,97.5,0.0
42.5,0.0,0.0
42.5,2.5,0.0
42.5,5.0,0.0
42.5,7.5,0.0
42.5,10.0,0.0
42.5,12.5,0.0
42.5,15.0,0.0
42.5,17.5,0.0
42.5,20.0,0.0
42.5,22.5,0.0
42.5,25.0,0.0
42.5,27.5,0.0
42.5,30.0,0.0
42.5,32.5,0.0
42.5,35.0,0.0
42.5,37.5,0.0
42.5,40.0,0.0
42.5,42.5,0.0
42.5,45.0,0.0
42.5,47.5,0.0
42.5,50.0,0.0
42.5,52.5,0.0
42.5,55.0,0.0
42.5,57.5,0.0
42.5,60.0,0.0
42.5,62.5,0.0
42.5,65.0,0.0
42.5,67.5,0.0
42.5,70.0,0.0
42.5,72.5,0.0
42.5,75.0,0.0
42.5,77.5,0.0
42.5,80.0,0.0
42.5,82.5,0.0
42.5,85.0,0.0
42.5,87.5,0.0
42.5,90.0,0.0
42.5,92.5,0.0
42.5,95.0,0.0
42.5,97.5,0.0
45.0,0.0,0.0
45.0,2.5,0.0
45.0,5.0,0.0
45.0,7.5,0.0
45.0,10.0,0.0
45.0,12.5,0.0
45.0,15.0,0.0
45.0,17.5,0.0
45.0,20.0,0.0
45.0,22.5,0.0
45.0,25.0,0.0
45.0,27.5,0.0
45.0,30.0,0.0
45.0,32.5,0.0
45.0,35.0,0.0
45.0,37.5,0.0
45.0,40.0,0.0
45.0,42.5,0.0
45.0,45.0,0.0
45.0,47.5,0.0
45.0,50.0,0.0
45.0,52.5,0.0
45.0,55.0,0.0
45.0,57.5,0.0
45.0,60.0,0.0
45.0,62.5,0.0
45.0,65.0,0.0
45.0,67.5,0.0
45.0,70.0,0.0
45.0,72.5,0.0
45.0,75.0,0.0
45.0,77.5,0.0
45.0,80.0,0.0
45.0,82.5,0.0
45.0,85.0,0.0
45.0,87.5,0.0
45.0,90.0,0.0
45.0,92.5,0.0
45.0,95.0,0.0
45.0,97.5,0.0
47.5,0.0,0.0
47.5,2.5,0.0
47.5,5.0,0.0
47.5,7.5,0.0
47.5,10.0,0.0
47.5,12.5,0.0
47.5,15.0,0.0
47.5,17.5,0.0
47.5,20.0,0.0
47.5,22.5,0.0
47.5,25.0,0.0
47.5,27.5,0.0
47.5,30.0,0.0
47.5,32.5,0.0
47.5,35.0,0.0
47.5,37.5,0.0
47.5,40.0,0.0
47.5,42.5,0.0
47.5,45.0,0.0
47.5,47.5,0.0
47.5,50.0,0.0
